dataset,algorithm,seed,step,run_result_str,run_result_val,run_result_type,filename_best,baseline_best_score,improvement_pct,step_portion
sat4j,gp,1,159,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,61-80%
sat4j,gp,1,15,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,160,0.164,0.164,success,0.164,0.167,1.7964071856287438,61-80%
sat4j,gp,1,161,0.164,0.164,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,162,0.167,0.167,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,163,0.167,0.167,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,164,0.17,0.17,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,165,0.174,0.174,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,166,0.172,0.172,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,167,0.171,0.171,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,168,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,169,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,16,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,170,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,171,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,172,0.175,0.175,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,173,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,174,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,175,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,176,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,177,0.171,0.171,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,178,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,179,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,17,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,180,0.164,0.164,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,181,0.164,0.164,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,182,0.167,0.167,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,183,0.167,0.167,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,184,0.17,0.17,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,185,0.17,0.17,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,186,0.173,0.173,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,187,0.172,0.172,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,188,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,189,0.179,0.179,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,18,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,190,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,191,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,192,0.175,0.175,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,193,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,194,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,195,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,196,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,197,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,198,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,199,0.17,0.17,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,19,0.171,0.171,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,1,0.167,0.167,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,200,0.164,0.164,success,0.164,0.167,1.7964071856287438,81-100%
sat4j,gp,1,20,0.167,0.167,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,21,0.17,0.17,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,22,0.171,0.171,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,23,0.171,0.171,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,24,0.172,0.172,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,25,0.173,0.173,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,26,0.175,0.175,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,27,0.175,0.175,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,28,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,29,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,2,0.182,0.182,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,30,0.178,0.178,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,31,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,32,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,33,0.169,0.169,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,34,0.168,0.168,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,35,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,36,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,37,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,38,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,39,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,3,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,40,0.167,0.167,success,0.167,0.167,0.0,1-20%
sat4j,gp,1,41,0.168,0.168,success,0.167,0.167,0.0,21-40%
sat4j,gp,1,42,0.169,0.169,success,0.167,0.167,0.0,21-40%
